time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2021-12-26T14:16:38.753Z,39.9606,-125.7914,8,4,mw,10,,,,ew,ew1640528220,2021-12-26T14:23:39.656Z,"146 km WSW of Ferndale, California",earthquake,9.491,5,0.3,10,automatic,ew,ew
2021-12-26T14:09:50.630Z,36.4993324,-120.4741669,8.87,2.19,md,23,71,,0.27,nc,nc73668586,2021-12-26T14:31:10.922Z,"14km W of Cantua Creek, CA",earthquake,0.49,1.71,0.13,14,automatic,nc,nc
2021-12-26T14:09:14.051Z,-4.5457,102.0208,45.13,4.6,mb,,181,0.95,0.44,us,us6000gfff,2021-12-26T14:58:21.040Z,"86 km SSW of Bengkulu, Indonesia",earthquake,8.2,7.2,0.095,36,reviewed,us,us
2021-12-26T13:58:29.848Z,31.7178,-104.5668,8.28,2.6,ml,,111,0.074,0.36,us,us6000gff7,2021-12-26T14:39:31.040Z,"53 km SSW of Whites City, New Mexico",earthquake,1.3,8.5,0.05,52,reviewed,us,us
2021-12-26T13:41:01.531Z,28.0534,141.5166,88.17,4.9,mb,,67,5.254,0.53,us,us6000gff5,2021-12-26T14:20:00.040Z,"Bonin Islands, Japan region",earthquake,9.8,6.6,0.039,215,reviewed,us,us
2021-12-26T13:40:23.458Z,59.2705,-153.1905,1,2.1,ml,,,,0.71,ak,ak021gjlg73d,2021-12-26T13:45:02.752Z,"72 km W of Nanwalek, Alaska",earthquake,,0.4,,,automatic,ak,ak
2021-12-26T13:31:20.578Z,60.7934,-150.6883,40.3,1.6,ml,,,,0.47,ak,ak021gjle8m7,2021-12-26T13:45:02.607Z,"14 km S of Point Possession, Alaska",earthquake,,1.8,,,automatic,ak,ak
2021-12-26T13:06:55.491Z,61.2175,-151.6845,72.6,1.4,ml,,,,0.63,ak,ak021gjl8z6o,2021-12-26T13:33:30.891Z,"33 km WNW of Beluga, Alaska",earthquake,,0.6,,,automatic,ak,ak
2021-12-26T12:51:43.560Z,17.994,-66.824,15,2.37,md,11,175,0.0583,0.13,pr,pr2021360004,2021-12-26T13:26:10.875Z,"Puerto Rico region",earthquake,0.57,0.63,0.26,7,reviewed,pr,pr
2021-12-26T12:43:33.910Z,35.6953333,-117.5161667,2.91,0.81,ml,14,140,0.1172,0.18,ci,ci39896663,2021-12-26T12:48:05.833Z,"13km SW of Searles Valley, CA",earthquake,0.53,1.51,0.192,7,automatic,ci,ci
2021-12-26T12:05:13.537Z,59.4902,-151.5542,48.8,1.5,ml,,,,0.63,ak,ak021gjkn8nt,2021-12-26T12:10:31.913Z,"5 km ENE of Seldovia Village, Alaska",earthquake,,0.9,,,automatic,ak,ak
2021-12-26T12:04:49.440Z,19.2084999084473,-155.410171508789,32.3899993896484,2.1099999,md,41,150,,0.109999999,hv,hv72847092,2021-12-26T12:07:59.040Z,"7 km E of Pāhala, Hawaii",earthquake,0.52,0.670000017,0.519999981,21,automatic,hv,hv
2021-12-26T11:56:46.080Z,19.2038326263428,-155.452835083008,34.0400009155273,1.72000003,md,32,130,,0.140000001,hv,hv72847077,2021-12-26T11:59:53.130Z,"2 km E of Pāhala, Hawaii",earthquake,0.6,1.23000002,0.569999993,3,automatic,hv,hv
2021-12-26T11:52:52.646Z,63.1185,-150.5928,123.3,1.6,ml,,,,0.1,ak,ak021gjkbyq8,2021-12-26T11:55:40.100Z,"69 km N of Petersville, Alaska",earthquake,,1.2,,,automatic,ak,ak
2021-12-26T11:39:28.380Z,36.1005,-117.8588333,3.94,1.51,ml,17,69,0.01735,0.11,ci,ci39896655,2021-12-26T17:09:38.591Z,"10km NE of Coso Junction, CA",earthquake,0.22,0.3,0.261,19,reviewed,ci,ci
2021-12-26T11:21:18.493Z,60.1035,-152.8443,113.8,2.1,ml,,,,0.38,ak,ak021gjk58w5,2021-12-26T11:34:57.752Z,"64 km WNW of Happy Valley, Alaska",earthquake,,0.7,,,automatic,ak,ak
